title,subclass,description
Testing the significance of calendar effects,Economic theory,"""This paper studies tests of calendar effects in equity returns.  It is necessary to control for all possible calendar effects to avoid spurious results.  The authors contribute to the calendar effects literature and its significance with a test for calendar-specific anomalies that conditions on the nuisance of possible calendar effects.  Thus, their approach to test for calendar effects produces robust data-mining results.  Unfortunately, attempts to control for a large number of possible calendar effects have the downside of diminishing the power of the test, making it more difficult to detect actual anomalies.  The authors show that our test achieves good power properties because it exploits the correlation structure of (excess) returns specific to the calendar effect being studied.  We implement the test with bootstrap methods and apply it to stock indices from Denmark, France, Germany, Hong Kong, Italy, Japan, Norway, Sweden, the United Kingdom, and the United States.  Bootstrap p-values reveal that calendar effects are significant for returns in most of these equity markets, but end-of-the-year effects are predominant.  It also appears that, beginning in the late 1980s, calendar effects have diminished except in small-cap stock indices""--Federal Reserve Bank of Atlanta web site."
Slow passthrough around the world a new import for developing countries? /,Economic theory,"""Developing countries traditionally exhibit passthrough of exchange rate changes that is greater and more rapid than high-income countries, but have experienced a rapid downward trend in recent years in the degree of short-run passthrough, and in the adjustment speed.  As a consequence, slow and incomplete passthrough is no longer exclusively a luxury of industrial countries.  Using a new data set--prices of eight narrowly defined brand commodities, observed in 76 countries --we find empirical support for some of the factors that have been hypothesized in the literature, but not for others.  Significant determinants of the passthrough coefficient include per capita incomes, bilateral distance, tariffs, country size, wages, long-term inflation, and long-term exchange rate variability.  Some of these factors changed during the 1990s.  Part (and only part) of the downward trend in passthrough to imported goods prices, and in turn to competitors' prices and the CPI, can be explained by changes in the monetary environment.  Real wages also work to reduce passthrough to competitors' prices and the CPI, confirming the hypothesized role of distribution and retail costs in pricing to market.  Rising distribution costs, due perhaps to the Balassa-Samuelson-Baumol effect, could contribute to the decline in the passthrough coefficient in some developing countries""--National Bureau of Economic Research web site."
Tax structure in developing countries many puzzles and a possible explanation /,Economic theory,"""Tax policies seen in developing countries are puzzling on many dimensions.  To begin with, revenue/GDP is surprisingly small compared with that in developed economies.  Taxes on labor income play a minor role.  Taxes on consumption are important, but effective tax rates vary dramatically by firm, with many firms avoiding taxes entirely by operating through cash in the informal economy and others facing very high liabilities.  Taxes on capital are an important source of revenue, as are tariffs and seignorage, all contrary to the theoretical literature.In this paper, we argue that all of these aspects of policy may be sensible responses if a government is able in practice to collect taxes only from those firms that make use of the financial sector.  Through use of the financial sector, firms generate a paper trail, facilitating tax enforcement.  The threat of disintermediation then limits how much can be collected in taxes.  Taxes can most easily be collected from the firms most dependent on the financial sector, presumably capital-intensive firms.  Given the resulting differential tax rates by sector, other policies would sensibly be used to offset these tax distortions.  Tariff protection for capital-intensive firms is one.  Inflation, imposing a tax on the cash economy is another""--National Bureau of Economic Research web site."
"Families, human capital, and small business evidence from the characteristics of business owners survey /","Industries, Land use, Labor","""An important finding in the rapidly growing literature on self-employment is that the probability of self-employment is substantially higher among the children of business owners than among the children of non-business owners. Using data from the confidential and restricted-access Characteristics of Business Owners (CBO) Survey, we provide some suggestive evidence on the causes of intergenerational links in business ownership and the related issue of how having a family business background affects small business outcomes. Estimates from the CBO indicate that more than half of all business owners had a self-employed family member prior to starting their business. Conditional on having a self-employed family member, less than 50 percent of small business owners worked in that family member's business suggesting that it is unlikely that intergenerational links in self-employment are solely due to the acquisition of general and specific business capital and that instead similarities across family members in entrepreneurial preferences may explain part of the relationship. In contrast, estimates from regression models conditioning on business ownership indicate that having a self-employed family member plays only a minor role in determining small business outcomes, whereas the business human capital acquired from prior work experience in a family member's business appears to be very important for business success. Estimates from the CBO also indicate that only 1.6 percent of all small businesses are inherited suggesting that the role of business inheritances in determining intergenerational links in self-employment is limited at best""--Forschungsinstitut zur Zukunft der Arbeit web site."
"Lucky stores, gambling, and addiction empirical evidence from state lottery sales /",Economic theory,"""There is a large body of literature in both psychology and economics documenting mistaken perceptions of randomness.  In this paper we demonstrate that people appear to believe that ""lightning will strike twice"" when it comes to lottery jackpots.  First, we show that in the week following the sale of a winning ticket, retailers that sell a winning jackpot ticket experience relative increases in game-specific ticket sales of between 12 and 38 percent, with the sales response increasing in the size of the jackpot.  In addition, the increase in sales experienced by the winning vendor increases with the proportion of the local population comprised of high school dropouts, elderly adults, and households receiving public assistance.  We further show that this increase in retail-game sales initially reflects an increase in total sales at the retail and zip code level.  Second, we show that the increase in sales is persistent at the winning retailer.  However, the data no not provide clear evidence that the increase in sales at the zip code level is persistent.  It thus appears that in the long run, consumers are persistent in their habit of buying lottery tickets at the ""lucky"" store; however, as the shock to total gambling dissipates, there is no evidence that lottery gambling itself is habit forming or addictive""--National Bureau of Economic Research web site."
Assigning deviant youths to minimize total harm,Economic theory,"""A common practice in the fields of education, mental health, and juvenile justice is to segregate problem youths in groups with deviant peers.  Assignments of this sort, which concentrate deviant youths, may facilitate deviant peer influence and lead to perverse outcomes.  This possibility adds to the list of arguments in support of ""mainstreaming"" whenever possible.  But there are other concerns that help justify segregated-group assignments, including efficiency of service delivery and protection of the public.  Our analysis organizes the discussion about the relevant tradeoffs.  First, the number of deviant youths (relative to the size of the relevant population, or to the number of assignment locations) affects whether the harm-minimizing assignment calls for diffusion or segregation.  Second, the nature of the problematic behavior is relevant; behavior which has a direct, detrimental effect on others who share the assignment makes a stronger case for segregation.  Third, the capacity for behavior control matters, and may make the difference in a choice between segregation and integration.  We briefly discuss the empirical literature, which with some exceptions is inadequate to the task of providing clear guidance about harm-minimizing assignment strategies.  Finally, we reflect briefly on the medical-practice principle ""first do no harm,"" and contrast it with the claims of potential victims of deviants""--National Bureau of Economic Research web site."
Deflationary bubbles,Economic theory,"""We analyse deflationary bubbles in a model where money is the only financial asset.  We show that such bubbles are consistent with the household's transversality condition if and only if the nominal money stock is falling.  Our results are in sharp contrast to those in several prominent contributions to the literature, where deflationary bubbles are ruled out by appealing to a non-standard transversality condition, originally due to Brock.  This condition, which we dub the GABOR condition, states that the consumer must be indifferent between reducing his money holdings by one unit and leaving them unchanged and enjoying the discounted present value of the marginal utility of that unit of money forever.  We show that the GABOR condition is not part of the necessary and sufficient conditions for household optimality nor is it sufficient to rule out deflationary bubbles.  Moreover, it rules out Friedman's optimal quantity of money equilibrium and, when the nominal money stock is falling, it rules out deflationary bubbles that are consistent with household optimality.  We also consider economies with real and nominal government debt and small open economies where private agents can lend to and borrow from abroad.  In these cases, deflationary bubbles may be possible, even when the nominal money stock is rising.  Their existence is shown to depend on the rules governing the issuance of government debt""--National Bureau of Economic Research web site."
Unlocking housing equity in Japan,Economic theory,"""Prior literature on asset patterns among the elderly often overlooks housing wealth as a determinant of retiree wealth, particularly in the Japanese context.  Yet releasing equity in housing may be a natural mechanism to boost consumption, reduce public pension liability, and mitigate the demand for long-term care facilities in Japan.  Our study evaluates what might be needed to implement reverse mortgages (RMs) in this country.  Policies could include exempting RMs from capital gains tax and transactions tax, along with mechanisms to make annuity income flows nontaxable, along with interest rate accruals for RMs.  In addition, housing market reforms to enhance information flows would be needed, particularly regarding new and existing housing trades, which could permit the securitization of housing loans and lines of credit.  Other improvements in capital markets could also help, including the establishment of reinsurance mechanisms to help lenders offer these reverse mortgages while having some protection against crossover risk.  In the Japanese case, demand for RMs will be dampened by declining residential housing values as well as low interest rates and long life expectancies.  Nevertheless, we conclude that RMs might be a good way to finance elderly consumption in Japan, particularly against the backdrop of governmental financial stringencies""--National Bureau of Economic Research web site."
Fertility and its consequence on family labour supply,"Industries, Land use, Labor","""While a large body of literature focuses on how fertility affects female labour market participation, there are relatively few studies that examine the effect of fertility on male labour market participation. Even if the burden of child care falls mainly on women, an exogenous increase in fertility is likely to change the optimal allocation of time, therefore, the labour supply decision of both female and male in a household. This paper analyses how an exogenous increase in fertility affects labour market participation of men and women in Indonesia -- a country that has seen dramatic changes in the labour market over recent decades. The finding is that women reduce their working hours in response to the higher fecundity in both rural and urban areas in Indonesia. On the other hand, the higher fecundity leads to men's increasing their working hours only in rural areas. The higher degree of specialization in response to fertility in rural areas is driven mainly by the differences in the cost of childcare rather than the characteristics of occupation or household bargaining power""--Forschungsinstitut zur Zukunft der Arbeit web site."
Spill-overs from good jobs,Economic theory,"""Does attracting or losing jobs in high paying sectors have important spill-over effects on wages in other sectors? The answer to this question is central to a proper assessment of many trade and industrial policies.  In this paper, we explore this question by examining how predictable changes in industrial composition in favor of high paying sectors affect wage determination at the industry-city level.  In particular, we use US Census data over the years 1970 to 2000 to quantify the relationship between changes in industry-specific city-level wages and changes in industrial composition.  Our finding is that the spill-over (i.e., general equilibrium) effects associated with changes in the fraction of jobs in high paying sectors are very substantial and persistent.  Our point estimates indicate that the total effect on average wages of a change in industrial composition that favors high paying sectors is about 3.5 times greater than that obtained from a commonly used composition-adjustment approach which neglects general equilibrium effects.  We interpret our results as being most likely driven by a variant of the mechanism recently emphasized in the heterogenous firm literature whereby changes in competitive pressure cause a reallocation of employment toward the most efficient firms""--National Bureau of Economic Research web site."
Too young to leave the nest the effects of school starting age /,Economic theory,"""Does it matter when a child starts school? While the popular press seems to suggest it does, there is limited evidence of a long-run effect of school starting age on student outcomes.  This paper uses data on the population of Norway to examine the role of school starting age on longer-run outcomes such as IQ scores at age 18, educational attainment, teenage pregnancy, and earnings.  Unlike much of the recent literature, we are able to separate school starting age from test age effects using scores from IQ tests taken outside of school, at the time of military enrolment, and measured when students are around age 18.  Importantly, there is variation in the mapping between year and month of birth and the year the test is taken, allowing us to distinguish the effects of school starting age from pure age effects.  We find evidence for a small positive effect of starting school younger on IQ scores measured at age 18.  In contrast, we find evidence of much larger positive effects of age at test, and these results are very robust.  We also find that starting school younger has a significant positive effect on the probability of teenage pregnancy, but has little effect on educational attainment of boys or girls.  There appears to be a short-run positive effect on earnings of beginning school at a younger age; however, this effect has essentially disappeared by age 30.  This pattern is consistent with the idea that starting school later reduces potential labor market experience at a given age for a given level of education; however, this becomes less important as individuals age""--National Bureau of Economic Research web site."
Bayesian learning in social networks,Economic theory,"""We study the perfect Bayesian equilibrium of a model of learning over a general social network.  Each individual receives a signal about the underlying state of the world, observes the past actions of a stochastically-generated neighborhood of individuals, and chooses one of two possible actions.  The stochastic process generating the neighborhoods defines the network topology (social network).  The special case where each individual observes all past actions has been widely studied in the literature.  We characterize pure-strategy equilibria for arbitrary stochastic and deterministic social networks and characterize the conditions under which there will be asymptotic learning -- that is, the conditions under which, as the social network becomes large, individuals converge (in probability) to taking the right action.  We show that when private beliefs are unbounded (meaning that the implied likelihood ratios are unbounded), there will be asymptotic learning as long as there is some minimal amount of ""expansion in observations"".  Our main theorem shows that when the probability that each individual observes some other individual from the recent past converges to one as the social network becomes large, unbounded private beliefs are sufficient to ensure asymptotic learning.  This theorem therefore establishes that, with unbounded private beliefs, there will be asymptotic learning an almost all reasonable social networks.  We also show that for most network topologies, when private beliefs are bounded, there will not be asymptotic learning.  In addition, in contrast to the special case where all past actions are observed, asymptotic learning is possible even with bounded beliefs in certain stochastic network topologies""--National Bureau of Economic Research web site."
Use of propensity scores in non-linear response models the case for health care expenditures /,Economic theory,"""Under the assumption of no unmeasured confounders, a large literature exists on methods that can be used to estimating average treatment effects (ATE) from observational data and that spans regression models, propensity score adjustments using stratification, weighting or regression and even the combination of both as in doubly-robust estimators.  However, comparison of these alternative methods is sparse in the context of data generated via non-linear models where treatment effects are heterogeneous, such as is in the case of healthcare cost data.  In this paper, we compare the performance of alternative regression and propensity score-based estimators in estimating average treatment effects on outcomes that are generated via non-linear models.  Using simulations, we find that in moderate size samples (n= 5000), balancing on estimated propensity scores balances the covariate means across treatment arms but fails to balance higher-order moments and covariances amongst covariates, raising concern about its use in non-linear outcomes generating mechanisms.  We also find that besides inverse-probability weighting (IPW) with propensity scores, no one estimator is consistent under all data generating mechanisms.  The IPW estimator is itself prone to inconsistency due to misspecification of the model for estimating propensity scores.  Even when it is consistent, the IPW estimator is usually extremely inefficient.  Thus care should be taken before naively applying any one estimator to estimate ATE in these data.  We develop a recommendation for an algorithm which may help applied researchers to arrive at the optimal estimator.  We illustrate the application of this algorithm and also the performance of alternative methods in a cost dataset on breast cancer treatment""--National Bureau of Economic Research web site."
Immigration and national wages clarifying the theory and the empirics /,Economic theory,"""This paper estimates the effects of immigration on wages of native workers at the national U.S.  level.  Following Borjas (2003) we focus on national labor markets for workers of different skills and we enrich his methodology and refine previous estimates.  We emphasize that a production function framework is needed to combine workers of different skills in order to evaluate the competition as well as cross-skill complementary effects of immigrants on wages.  We also emphasize the importance (and estimate the value) of the elasticity of substitution between workers with at most a high school degree and those without one.  Since the two groups turn out to be close substitutes, this strongly dilutes the effects of competition between immigrants and workers with no degree.  We then estimate the substitutability between natives and immigrants and we find a small but significant degree of imperfect substitution which further decreases the competitive effect of immigrants.  Finally, we account for the short run and long run adjustment of capital in response to immigration.  Using our estimates and Census data we find that immigration (1990-2006) had small negative effects in the short run on native workers with no high school degree (-0.7%) and on average wages (-0.4%) while it had small positive effects on native workers with no high school degree (+0.3%) and on average native wages (+0.6%) in the long run.  These results are perfectly in line with the estimated aggregate elasticities in the labor literature since Katz and Murphy (1992).  We also find a wage effect of new immigrants on previous immigrants in the order of negative 6%""--National Bureau of Economic Research web site."
The higher educational transformation of china and its global implications,Economic theory,"""This paper documents the major transformation of higher education that has been underway in China since 1999 and evaluates its potential global impacts.  Reflecting China's commitment to continued high growth through quality upgrading and the production of ideas and intellectual property as set out in both the 10th (2001-2005) and 11th (2006-2010) five-year plans, this transformation focuses on major new resource commitments to tertiary education and also embodies significant changes in organizational form.  This focus on tertiary education differentiates the Chinese case from other countries who earlier at similar stages of development instead stressed primary and secondary education.  The number of undergraduate and graduate students in China has been grown at approximately 30% per year since 1999, and the number of graduates at all levels of higher education in China has approximately quadrupled in the last 6 years.  The size of entering classes of new students and total student enrollments have risen even faster, and have approximately quintupled.  Prior to 1999 increases in these areas were much smaller.  Much of the increased spending is focused on elite universities, and new academic contracts differ sharply from earlier ones with no tenure and annual publication quotas often used.  All of these changes have already had large impacts on China's higher educational system and are beginning to be felt by the wider global educational structure.  We suggest that even more major impacts will follow in the years to come and there are implications for global trade both directly in ideas, and in idea derived products.  These changes, for now, seem relatively poorly documented in literature""--National Bureau of Economic Research web site."
"Religion, terrorism and public goods testing the club model /",Economic theory,"""Can rational choice modeling explain why Hamas, Taliban, Hezbollah and other radical religious rebels are so lethal? The literature rejects theological explanations.  We propose a club framework, which emphasizes the function of voluntary religious organizations as efficient providers of local public goods in the absence of government provision.  The sacrifices religious clubs require are economically efficient (Iannaccone (1992)), making them well suited for solving the extreme principal-agent problems faced by terrorist and insurgent organizations.  Thus religious clubs can be potent terrorists.  That explanation is supported by data on terrorist lethality in the Middle East.  The same approach explains why religious clubs often choose suicide attacks.  Using three data sources spanning a half century, and comparing suicide attackers to civil war insurgents, we show that suicide attacks are chosen when targets are ""hard,"" i.e., difficult to destroy.  Data from Israel/Palestine confirm that prediction.  To explain why radical religious clubs specialize in suicide attacks we model the choice of tactics by rebels attacking hard targets, considering the human costs and tactical benefits of suicide attacks.  We ask what a suicide attacker would have to believe to be rational.  We then embed that attacker and other operatives in a club model.  The model has testable implications for tactic choice and damage achieved by clubs and other rebels, which are supported by data on terrorist attacks in the Middle East: Radical religious clubs are more lethal and choose suicide terrorism more often, when they provide benign local public goods.  Our results suggest benign tactics to counter terrorism by religious radicals""--National Bureau of Economic Research web site."
The impact of athletic performance on alumni giving an analysis of micro data /,Economic theory,"""An ongoing controversy in the literature on the economics of higher education centers on whether the success of a school's athletic program affects alumni donations.  This paper uses a unique data set to investigate this issue.  The data contain detailed information about donations made by alumni of a selective research university as well as a variety of their economic and de-mographic characteristics.  One important question is how to characterize the success of an athletic program.  We focus not only on the performance of the most visible teams, football and basketball, but also on the success of the team on which he or she played as an undergraduate.  One of our key findings is that the impact of athletic success on donations differs for men and women.  When a male graduate's former team wins its conference championship, his donations for general purposes increase by about 7 percent and his donations to the athletic program increase by about the same percentage.  Football and basketball records generally have small and statistically insignificant effects; in some specifications, a winning basketball season reduces donations.  For women there is no statistically discernible effect of a former team's success on current giving; as is the case for men, the impacts of football and basketball, while statistically significant in some specifications, are not important in magnitude.  Another novel result is that for males, varsity athletes whose teams were successful when they were undergraduates subsequently make larger donations to the athletic program.  For example, if a male alumnus's team won its conference championship during his senior year, his subsequent giving to the athletic program is about 8 percent a year higher, ceteris paribus""--National Bureau of Economic Research web site."
Beyond signaling and human capital education and the revelation of ability /,Economic theory,"""In traditional signaling models, education provides a way for individuals to sort themselves by ability.  Employers in turn use education to statistically discriminate, paying wages that reflect the average productivity of workers with the same given level of education.  In this paper, we provide evidence that education (specifically, attending college) plays a much more direct role in revealing ability to the labor market.  We use the NLSY79 to examine returns to ability early in careers; our results suggest that ability is observed nearly perfectly for college graduates but is revealed to the labor market much more gradually for high school graduates.  As a result, from very beginning of the career, college graduates are paid in accordance with their own ability, while the wages of high school graduates are initially completely unrelated to their own ability.  This view of ability revelation in the labor market has considerable power in explaining racial differences in wages, education, and the returns to ability.  In particular, we find no racial differences in wages or returns to ability in the college labor market, but a 6-10 percent wage penalty for blacks (conditional on ability) in the high school market.  These results are consistent with the notion that employers use race to statistically discriminate in the high school market but have no need to do so in the college market.  That blacks face a wage penalty in the high school but not the college labor market also helps to explains why, conditional on ability, blacks are more likely to earn a college degree, a fact that has been documented in the literature but for which a full explanation has yet to emerge""--National Bureau of Economic Research web site."
Measuring beginner reading skills an empirical evaluation of alternative instruments and their potential use for policymaking and accountability in peru /,Finance,"""Based on analysis of reading performance data from 475 third-graders in Peru, this study makes recommendations on improving reading tests, choice of reading standards, and how to present the results at the school and individual levels.  The paper reviews the literature on using reading skills measurement in the early grades to guide policymaking, strengthen accountability, and improve education quality.  It uses data generated from the same students using two common approaches to measuring reading skills: an individually-administered oral fluency test, and a group-administered written comprehension test designed by the Ministry of Education for the 2006 universal standard test of second grade reading comprehension.  These two approaches have sometimes been presented as competing alternatives, but the paper shows that it is better if they are used together, as complements.  Based on psychometric analysis, the paper shows that both the oral and written tests adequately measured students' reading abilities.  The results show that reading fluency and comprehension are correlated: fluent readers are more likely to understand what they read than non-fluent readers.  The strength of the fluency-comprehension relationship depends on the level of fluency, the difficulty of the questions, and social characteristics of the school.  The paper recommends using improved versions of both tests to evaluate early grade reading skills, as a central element of a system of accountability for results.  It proposes a model for reporting test results desgned to highlight the importance of reading standards, mobilize the education community to reach them, track progress, and identify students in need of extra support.   ""--World Bank web site."
Econometric explorations on bounded rationality the case of job changing behavior /,"Industries, Land use, Labor","""In this paper we question the hypothesis of full rationality in the context of job changing behavior, via simple econometric explorations on microdata drawn from WHIP (Worker Histories Italian Panel). A rational outcome of the job matching process implies a positive tradeoff between future wages and risk-on-the-job. The main result of this paper is that no ""rational"" tradeoff is observable after controlling for a variety of possible shifters. However, if we control for individual characteristics and replace wage growth by its predictor net of individual effects, the picture changes with the emergence of a significantly positive tradeoff between wage growth and risk-on-the-job. The interpretation is suggestive: while market forces (net of individual effects) drive towards a rational outcome, individual characteristics, instead of reinforcing the ""rationality"" of a positive tradeoff, lead towards the opposite direction of confounding good and bad options. Our explanation for these findings is that people act on the basis of bounded rationality  ̉la Simon. If our assessment is correct, the implications are powerful: are there reasons to believe that such patterns are found only in the context of job search and worker mobility and not in other instances of economic behavior? Recent literature on bounded rationality strongly suggests the contrary. Why, then, should economists leave unchallenged and unchallengeable the hypothesis of full rationality? Had our investigation aimed at estimating the elasticities of wage growth and job safety of the workers' utilities, we would have miserably failed. Is this a consequence of a misspecified model or of the wrong behavioral assumptions? Our support unquestionably goes to the latter""--Forschungsinstitut zur Zukunft der Arbeit web site."
Risk tolerance and alcohol demand among adults and older adults,Economic theory,"""This study has two primary goals.  These are the examination of the effect of risk tolerance on individuals' demand for alcohol and second, the examination of the demand for alcohol by older adults over the age of 55.  The data sets employed are multiple waves from the Panel Study of Income Dynamics (PSID) and the Health and Retirement Study (HRS).  While risk tolerance can impact the level of alcohol consumption, it may also affect the sensitivity of demand to prices.  There are parallels between the economist's and the psychologist's concept of risk tolerance.  Research on attitudes towards risk by psychologists is part of a larger theoretical and empirical literature on personality traits.  Psychologists have found risk tolerance to be an important determinant of alcohol consumption.  The empirical results indicate that risk aversion has a significant negative effect on alcohol consumption, with the prevalence and consumption among risk-tolerant individuals being six to eight percent higher.  Furthermore, the tax elasticity is similar across both risk-averse and risk-tolerant individuals.  This suggests that tax policies may be effective in deterring alcohol consumption even among those who have a higher propensity for alcohol use.  The significance of research on alcohol demand by individuals ages 55 and older is highlighted by the increased potential for alcohol-related adverse consequences among this demographic group.  Comparing younger adults (ages 21-54) with older adults, responses to taxes and prices are higher among the older sub-population.  The tax elasticity is estimated at -0.05 for younger adults, compared to -0.20 for older adults""--National Bureau of Economic Research web site."
The impact of litigation on venture capitalist reputation,Economic theory,"""Venture capital contracts give VCs enormous power over entrepreneurs and early equity investors of portfolio companies.  A large literature examines how these contractual terms protect VCs against misbehavior by entrepreneurs.  But what constrains misbehavior by VCs? We provide the first systematic analysis of legal and non-legal mechanisms that penalize VC misbehavior, even when such misbehavior is formally permitted by contract.  We hand-collect a sample of over 177 lawsuits involving venture capitalists.  The three most common types of VC-related litigation are: 1) lawsuits filed by entrepreneurs, which most often allege freezeout and transfer of control away from founders; 2) lawsuits filed by early equity investors in startup companies; and 3) lawsuits filed by VCs.  Our empirical analysis of the lawsuit data proceeds in two steps.  We first estimate an empirical model of the propensity of VCs to get involved in litigation as a function of VC characteristics.  We match each venture firm that was involved in litigation to otherwise similar venture firm that was not involved in litigation and find that less reputable VCs are more likely to participate in litigation, as are VCs focusing on early-stage investments, and VCs with larger deal flow.  Second, we analyze the relationship between different types of lawsuits and VC fundraising and deal flow.  Although plaintiffs lose most VC-related lawsuits, litigation does not go unnoticed: in subsequent years, the involved VCs raise significantly less capital than their peers and invest in fewer deals.  The biggest losers are VCs who were defendants in a lawsuit, and especially VCs who were alleged to have expropriated founders""--National Bureau of Economic Research web site."
The relation between child labour and mothers' work the case of india /,"Industries, Land use, Labor","""The paper deals with child labour in developing countries. We address a problem that has recently drawn much attention at the international level, that is, how to invest in women's rights to advance the rights of both women and children. We study the problem from a new perspective. In our theoretical model we assume that the child's time is an extension of her/his mother's time, and that she has to decide how to allocate it. We estimate two empirical specifications, both multinomial logit. The first one, in line with the standard approach in the literature, estimates a model of the probability of the different child's states, conditional on her/his mother's states. The second empirical specification, in line with our theoretical model, estimates the mother-child states jointly. Using a unique, rich and representative data survey for all Indian states and for urban and rural India (NFHS-2, 1998/9), we select our sample drawing information from the household data set and the women's data set. Our results show that the presence of the mother in the family increases children welfare, in terms of educational opportunities and protection from work activities. All our results indicate that the mother tends to stay home and send her children to school the better is the father's employment position and the wealthier is the family. However, we observe a perverse effect. If the mother works, since female job quality and wage levels are very low, also her children have a higher probability to work""--Forschungsinstitut zur Zukunft der Arbeit web site."
"Currency mismatches, default risk, and exchange rate depreciation evidence from the end of bimetallism /",Economic theory,"""It is generally very difficult to measure the effects of a currency depreciation on a country's balance sheet and financing costs given the endogenous properties of the exchange rate.  History provides at least one natural experiment to test whether an exogenous exchange rate depreciation can be contractionary (via an increased real debt burden) or expansionary (via an improved current account).  France's decision to suspend the free coinage of silver in 1876 played a paramount role in causing a large exogenous depreciation of the nominal exchange rates of all silver standard countries versus gold backed currencies such as the British pound, the currency in which much of their debt was payable.  Our identifying assumption is that France's decision to end bimetallism was exogenous from the viewpoint of countries on the silver standard.  To deal with heterogeneity we implement a difference in differences estimator.  Sovereign yield spreads for countries on the silver standard increased in proportion to the potential currency mismatch.  Yield spreads for silver countries increased ten to fifteen percent in the wake of the depreciation.  Basic growth models suggest that the accompanying reduction in investment could have decreased output per capita by between one and four percent relative to the preshock trajectory.  This also illustrates that a substantial proportion of the decrease in spreads gold standard countries identified in the ""Good Housekeeping"" literature could be attributable to the increase in exchange rate stability.  Finally, if emerging markets are going to embrace international capital flows, the most export oriented countries will manage to mitigate the negative effects of a currency mismatch""--National Bureau of Economic Research web site."
"Comparative advantage, demand for external finance, and financial development",Finance,"""The differences in the levels of financial development between industrial and developing countries are large and persistent.  Theoretical and empirical literature has argued that these differences are the source of comparative advantage and could therefore shape trade patterns.  This paper points out the reverse link: financial development is influenced by comparative advantage.  The authors illustrate this idea using a model in which a country's financial development is an equilibrium outcome of the economy's productive structure: financial systems are more developed in countries with large financially intensive sectors.  After trade opening demand for external finance, and therefore financial development, are higher in a country that specializes in financially intensive goods.  By contrast, financial development is lower in countries that primarily export goods which do not rely on external finance.  The authors demonstrate this effect empirically using data on financial development and export patterns in a panel of 96 countries over the period 1970-99.  Using trade data, they construct a summary measure of a country's external finance need of exports and relate it to the level of financial development.  In order to overcome the simultaneity problem, they adopt a strategy in the spirit of Frankel and Romer (1999).  The authors exploit sector-level bilateral trade data to construct, for each country and time period, a predicted value of external finance need of exports based on the estimated effect of geography variables on trade volumes across sectors.  Their results indicate that financial development is an equilibrium outcome that depends strongly on a country's trade pattern. ""--World Bank web site."
Does ethnicity pay?,Economic theory,"""One of the most important and one of the most heavily studied ethnic networks in the world is overseas Chinese.  However, almost all of the analysis on the economic dimensions of the overseas Chinese network has been about the effects of ethnic ties on the aggregate volume of trade or the effects of ethnic ties on foreign direct investment (FDI) at the country level.  In this paper, we add to the large and important collection of literature on the subject by studying the profitability of foreign direct investments made by overseas Chinese in China.  Our paper takes advantage of a large dataset-over 50,000 firms over a period of eight years-that is comprised of two types of foreign firms with investments in China-those owned by ethnic Chinese and those owned by non-ethnic Chinese.  Against common perceptions, we find that ethnically Chinese firms in China do not outperform non-ethnically Chinese firms by a set of conventional profitability measures.  We also find that the performance of ethnically Chinese firms deteriorates over time.  One hypothesis explaining this result is that ethnically Chinese firms tend to under-invest in those firm attributes that may enhance long-term performance, such as human capital and technology (proxied by intangible assets in our paper).  Indeed we do find evidence that ethnically Chinese firms invest far less in intangible assets and human capital as compared with non-ethnically Chinese firms of similar size, age, and other characteristics.  In addition, within strata of matched firms based on their intangible assets and human capital, ethnically Chinese firms no longer display significant dynamic disadvantage relative to non-ethnic firms after controlling for other firm characteristics and fixed effects""--National Bureau of Economic Research web site."
Entry and selection in auctions,Economic theory,"""We develop and estimate an entry model for second price and open outcry independent private value auctions where potential bidders receive an imperfectly informative signal about their value prior to deciding whether to pay a sunk entry cost.  In this way the model flexibly allows for selection on values, which will affect an entrant's subsequent competitiveness, at the entry stage.  As signals become more informative, the entry process exhibits greater selection as firms with higher values are more likely to enter.  We allow for asymmetries across bidders and unobserved heterogeneity across auctions, which are important features of most data sets.  We show how incorrectly assuming the extremes of either no selection (no signal) or perfect selection (prior knowledge of one's value) - the common alternatives in the literature - can yield incorrect estimates of model primitives and bias the results from counterfactuals.  We apply our model to U.S.  Forest Service timber auctions and find strong evidence in favor of a selective entry process.  We take advantage of the flexible entry model to reevaluate the well known theory result that with fixed participation a seller prefers an extra bidder over the ability to set an optimal reserve price.  In our model, the relative value of setting a reserve price and increasing the number of potential entrants to a revenue-maximizing seller will depend on the degree of selection.  Our structural estimates imply that, if the USFS wants to maximize revenues, it will benefit more from adding an additional potential entrant than setting an optimal reserve price""--National Bureau of Economic Research web site."
